Question,A,B,C,D,Right Answer,Image
What is the capital of France?,Berlin,Madrid,Paris,Rome,C,
Which continent is the Sahara Desert located in?,Asia,Africa,Australia,South America,B,
What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,A,
Which country has the most population?,USA,India,China,Russia,C,
What mountain range forms the natural border between France and Spain?,Alps,Pyrenees,Rockies,Himalayas,B,
"Which country is known as the ""Land of the Rising Sun""?",China,Japan,South Korea,Thailand,B,
What is the smallest country in the world by land area?,Monaco,San Marino,Vatican City,Liechtenstein,C,
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D,
Which country has the longest coastline in the world?,Australia,Canada,Russia,Indonesia,B,
Which desert is the largest in the world?,Gobi,Sahara,Antarctic,Kalahari,C,
What river runs through Egypt?,Tigris,Euphrates,Nile,Amazon,C,
What is the capital of Australia?,Sydney,Canberra,Melbourne,Brisbane,B,
Which continent is the Amazon Rainforest located in?,Africa,Asia,South America,Australia,C,
Which country is home to the Andes Mountains?,Argentina,Brazil,Peru,Chile,D,
What sea is located between Saudi Arabia and Africa?,Red Sea,Mediterranean Sea,Black Sea,Arabian Sea,A,
What is the most spoken language in the world?,English,Spanish,Mandarin,Hindi,C,
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,B,
Which country is the largest in South America by land area?,Argentina,Brazil,Colombia,Peru,B,
What is the highest mountain in the world?,Mount Kilimanjaro,Mount Everest,K2,Mount Fuji,B,
What U.S. state is the Grand Canyon located in?,Nevada,Arizona,Utah,Colorado,B,
What is the capital of Italy?,Milan,Venice,Rome,Naples,C,
Which river forms part of the border between the U.S. and Mexico?,Mississippi,Missouri,Rio Grande,Colorado,C,
Which continent is also a country?,Europe,Antarctica,Australia,Asia,C,
Which country is known for the Great Wall?,Japan,India,China,Mongolia,C,
What body of water separates the UK from mainland Europe?,English Channel,North Sea,Irish Sea,Baltic Sea,A,
What country is the Eiffel Tower located in?,Germany,France,Italy,Spain,B,
Which continent is the country of Egypt located in?,Asia,Europe,Africa,North America,C,
